CAT;SAC;SIC;Time;LAT;LON;H;H(m);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG;STAT
CAT048;20;129;04:00:05:367;41.29802251;2.06474082;-0.00196744874119759;-0.00645488452807069;1.695312;264.572754;2000;N/A;A48C07;UPS242;N/A;NV;NV;0;NV;NV;NV;NV;NV;0;0;1808;7.48;215.4858;Alert, no SPI, aircraft on ground
CAT048;20;129;04:00:05:406;41.30023828;2.07995628;-0.000693278387188911;-0.00227453546382487;1;268.412476;0430;N/A;4CA815;RYR91MD;1014.2;N/A;N/A;N/A;N/A;N/A;155.039062;45;0.152;0;32;3678;13.42;154.6875;No alert, no SPI, aircraft on ground
CAT048;20;129;04:00:05:414;41.30023029;2.07641351;-0.000933189876377583;-0.00306164667401463;1.160156;268.610229;5360;N/A;4CA61C;RYR699N;1014.2;N/A;N/A;N/A;N/A;N/A;67.675781;45;0.152;32;0;159;4.84;67.5;No alert, no SPI, aircraft on ground
CAT021;20;219;04:00:06:227;41.2881318479776;2.19854738563299;N/A;N/A;N/A;N/A;0437;28.75;4CA739;RYR82GJ;1013.6;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
CAT021;20;219;04:00:06:594;41.2809906341136;2.08178713917732;N/A;N/A;N/A;N/A;N/A;1.5;34310D;BCS3LR;1013.6;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
CAT048;20;129;04:00:07:531;41.28786654;2.20059630;891.526419228874;2924.95553726286;4.546875;99.766846;0437;29.25;4CA739;RYR82GJ;1013.2;N/A;N/A;N/A;N/A;N/A;97.03125;211;0.336;2752;2720;3862;231.22;97.7069;No alert, no SPI, aircraft airbone
CAT021;20;219;04:00:08:258;41.2878570891917;2.20135498791933;N/A;N/A;N/A;N/A;0437;29.5;4CA739;RYR82GJ;1013.6;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
CAT021;20;219;04:00:08:531;41.2821055948734;2.08228385075927;N/A;N/A;N/A;N/A;N/A;1.5;34310D;BCS3LR;1013.6;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
CAT048;20;129;04:00:08:859;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;728;N/A;N/A;N/A
CAT048;20;129;04:00:09:008;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;645;N/A;N/A;N/A
